variable,labeled_samples,accuracy,precision,recall,f1,tp,fp,tn,fn
good_packaging_and_accessories,318,1.0,0,0,0,0,0,318,0
regular_notifications_on_order_progress,318,1.0,0,0,0,0,0,318,0
overall_rating_collected,1403,1.0,0,0,0,0,0,1403,0
late_dispatch,1712,1.0,0,0,0,0,0,1712,0
delivery_guy_behaviour,1712,1.0,0,0,0,0,0,1712,0
no_updates,1712,0.9994158878504673,0.0,0,0,0,1,1711,0
courier_delays,1712,0.9994158878504673,0.0,0,0,0,1,1711,0
escalation_fraud,1475,0.9993220338983051,0,0.0,0,0,0,1474,1
incorrect_updates,317,0.9968454258675079,0.0,0,0,0,1,316,0
fast_delivery,1481,0.9966239027683997,0.0,0.0,0,0,2,1476,3
smooth_tracking_and_updates,1474,0.9966078697421981,0.0,0.0,0,0,2,1469,3
great_condition_as_described,1474,0.9966078697421981,0,0.0,0,0,0,1469,5
Fraud,1228,0.995928338762215,0.3333333333333333,0.25,0.28571428571428575,1,2,1222,3
on_time_as_promised,1475,0.9952542372881356,0.0,0.0,0,0,4,1468,3
timely_and_accurate_updates,1485,0.9946127946127946,0,0.0,0,0,0,1477,8
voucher_option,1724,0.994199535962877,0.8571428571428571,0.72,0.782608695652174,18,3,1696,7
Behaviour Issue,1722,0.9941927990708479,0.3333333333333333,0.1111111111111111,0.16666666666666666,1,2,1711,8
clear_and_detailed_tracking_updates,318,0.9937106918238994,0.0,0,0,0,2,316,0
delay_in_updates,320,0.990625,0,0.0,0,0,0,317,3
Data_Security,1721,0.990122022080186,0.52,0.7222222222222222,0.6046511627906976,13,12,1691,5
disagreed_to_share_media,1597,0.989355040701315,0.46153846153846156,0.8,0.5853658536585367,12,14,1568,3
Pickup Denied_failed lead,733,0.9877216916780355,0.2857142857142857,0.3333333333333333,0.30769230769230765,2,5,722,4
device_quality,322,0.9875776397515528,0.0,0.0,0,0,1,318,3
excellent_performance,318,0.9874213836477987,0.0,0,0,0,4,314,0
TBF_Customer agreed on offered amount,701,0.985734664764622,0.46153846153846156,0.6666666666666666,0.5454545454545455,6,7,685,3
reason_partner_fraud,1697,0.9829110194460813,0.0,0.0,0,0,26,1668,3
agent_asked_for_media,1722,0.9825783972125436,0.8307692307692308,0.7397260273972602,0.7826086956521738,54,11,1638,19
order_already_delivered,1482,0.9824561403508771,0.6428571428571429,0.3,0.4090909090909091,9,5,1447,21
not_interested_due_to_pickup_issue,1712,0.9813084112149533,0.2727272727272727,0.5294117647058824,0.36,9,24,1671,8
Pickup delay_failed lead,771,0.9766536964980544,0.25,0.14285714285714285,0.18181818181818182,2,6,751,12
explicit_support_requested,1429,0.9706088173547935,0.3,0.3,0.3,9,21,1378,21
device_already_sold,532,0.9642857142857143,0.8235294117647058,0.6829268292682927,0.7466666666666667,28,6,485,13
call_back_requested,1724,0.962877030162413,0.3880597014925373,0.5306122448979592,0.4482758620689655,26,41,1634,23
pulse_check_passed,1381,0.9623461259956553,0.25925925925925924,0.1794871794871795,0.21212121212121213,7,20,1322,32
customer_refused_survey,1432,0.9622905027932961,0.2972972972972973,0.28205128205128205,0.2894736842105264,11,26,1367,28
agreed_to_share_media,394,0.9619289340101523,0.7777777777777778,0.7,0.7368421052631577,21,6,358,9
device_issue_detected,1445,0.9557093425605536,0.5483870967741935,0.6986301369863014,0.6144578313253012,51,42,1330,22
delivery_accepted,1391,0.9554277498202732,0.7238095238095238,0.6972477064220184,0.7102803738317758,76,29,1253,33
price_offered,1723,0.9518282066163668,0.6557377049180327,0.6611570247933884,0.6584362139917695,80,42,1560,41
whatsapp_fallback_sent,1433,0.9497557571528262,0.7327586206896551,0.6746031746031746,0.7024793388429752,85,31,1276,41
Re-Quote Issue leads failed,280,0.9428571428571428,0.5,0.3125,0.38461538461538464,5,5,259,11
packaging,303,0.9372937293729373,0.0,0,0,0,19,284,0
agent_asked_reopen,1722,0.9291521486643438,0.75,0.6756756756756757,0.7109004739336493,150,50,1450,72
assessment_agreement,1720,0.9273255813953488,0.3617021276595745,0.5930232558139535,0.44933920704845814,51,90,1544,35
rebooked_pickup,618,0.9239482200647249,0.8441558441558441,0.65,0.7344632768361582,65,12,506,35
performance,1491,0.9221998658618377,0.0,0.0,0,0,1,1375,115
customer_unavailable_reason,1386,0.9069264069264069,0.7078651685393258,0.3795180722891566,0.49411764705882355,63,26,1194,103
not_interested_due_to_price_issue,1722,0.8937282229965157,0.6567164179104478,0.5365853658536586,0.5906040268456376,132,69,1407,114
pulse_check_compliance,1393,0.8908829863603733,0.125,0.4090909090909091,0.19148936170212763,18,126,1223,26
crm_narration_compliance,1415,0.8890459363957597,0.02666666666666667,0.26666666666666666,0.048484848484848485,4,146,1254,11
not_interested_to_sell_anymore,374,0.8850267379679144,0.8666666666666667,0.24074074074074073,0.37681159420289856,13,2,318,41
is_price_related_issue,1457,0.8840082361015786,0.6988950276243094,0.8083067092651757,0.7496296296296296,253,109,1035,60
delivery_agreement_confirmed,81,0.8765432098765432,0.7142857142857143,0.38461538461538464,0.5,5,2,66,8
Buyback,193,0.8549222797927462,0.9824561403508771,0.6746987951807228,0.7999999999999999,56,1,109,27
Failed without visit/calling,1590,0.8547169811320755,0.5644171779141104,0.36507936507936506,0.44337349397590364,92,71,1267,160
cancellation_reason_id,18,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,15,0,0,3
Wrong Cancellation,1425,0.8301754385964912,0.34967320261437906,0.7133333333333334,0.46929824561403505,107,199,1076,43
low_rating_reason_probed,1392,0.764367816091954,0.16822429906542055,0.07003891050583658,0.09890109890109891,18,89,1046,239
disconnected_without_speaking,1659,0.7576853526220615,0.4418604651162791,0.14728682170542637,0.2209302325581395,57,72,1200,330
disconnected_without_speaking,1659,0.7576853526220615,0.4418604651162791,0.14728682170542637,0.2209302325581395,57,72,1200,330
Mid_call_disconnection,1718,0.630384167636787,0.32463295269168024,0.4738095238095238,0.38528557599225555,199,414,884,221
improvement_areas,1650,0.516969696969697,0.7063492063492064,0.19755826859045506,0.30875975715524717,178,74,675,723
